Symbol,Company,SEC filings,GICS?Sector,Location of Headquarters
NOC,Northrop Grumman Corp.,reports,Industrials,"West Falls Church, Virginia"
NU,Northeast Utilities,reports,Utilities,"Berlin, Connecticut"
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,"Denver, Colorado"
NVLS,Novellus Systems,reports,Information Technology,"San Jose, California"
NRG,NRG Energy,reports,Utilities,"West Windsor Township, New Jersey"
NUE,Nucor Corp.,reports,Materials,"Charlotte, North Carolina"
NVDA,Nvidia Corporation,reports,Information Technology,"Santa Clara, California"
NYX,NYSE Euronext,reports,Financials,"New York, New York"
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,"Springfield, Missouri"
OXY,Occidental Petroleum,reports,Energy,"Los Angeles, California"
OMC,Omnicom Group,reports,Consumer Discretionary,"New York, New York"
OKE,ONEOK,reports,Utilities,"Tulsa, Oklahoma"
ORCL,Oracle Corp.,reports,Information Technology,"Redwood Shores, California"
OI,Owens-Illinois Inc,reports,Materials,"Perrysburg, Ohio"
PCAR,PACCAR Inc.,reports,Industrials,"Bellevue, Washington"
IR,Ingersoll-Rand PLC,reports,Industrials,"Dublin, Ireland"
PLL,Pall Corp.,reports,Industrials,"Port Washington, New York"
PH,Parker-Hannifin,reports,Industrials,"Cleveland, Ohio"
PDCO,Patterson Companies,reports,Health Care,"St. Paul, Minnesota"
PAYX,Paychex Inc.,reports,Information Technology,"Penfield, New York"
BTU,Peabody Energy,reports,Energy,"St. Louis, Missouri"
JCP,Penney (J.C.),reports,Consumer Discretionary,"Plano, Texas"
PBCT,People's United Bank,reports,Financials,"Bridgeport, Connecticut"
POM,Pepco Holdings Inc.,reports,Utilities,Washington D.C
PEP,PepsiCo Inc.,reports,Consumer Staples,"Purchase, New York"
PKI,PerkinElmer,reports,Health Care,"Waltham, Massachusetts"
PRGO,Perrigo,reports,Health Care,"Allegan, Michigan"
PFE,Pfizer Inc.,reports,Health Care,"New York, New York"
PCG,PG&E Corp.,reports,Utilities,"San Francisco, California"
PM,Philip Morris International,reports,Consumer Staples,"New York, New York"
PNW,Pinnacle West Capital,reports,Utilities,"Phoenix, Arizona"
PXD,Pioneer Natural Resources,reports,Energy,"Irving, Texas"
PBI,Pitney-Bowes,reports,Industrials,"Stamford, Connecticut"
PCL,Plum Creek Timber Co.,reports,Financials,"Seattle, Washington"
PNC,PNC Financial Services,reports,Financials,"Pittsburgh, Pennsylvania"
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"New York, New York"
PPG,PPG Industries,reports,Materials,"Pittsburgh, Pennsylvania"
PPL,PPL Corp.,reports,Utilities,"Allentown, Pennsylvania"
PX,Praxair Inc.,reports,Materials,"Danbury, Connecticut"
PCP,Precision Castparts,reports,Industrials,"Portland, Oregon"
PCLN,Priceline.com Inc,reports,Industrials,"Norwalk, Connecticut"
PFG,Principal Financial Group,reports,Financials,"Des Moines, Iowa"
PG,Procter & Gamble,reports,Consumer Staples,"Cincinnati, Ohio"
PGN,Progress Energy Inc.,reports,Utilities,"Raleigh, North Carolina"
PGR,Progressive Corp.,reports,Financials,"Mayfield Village, Ohio"
PLD,ProLogis,reports,Financials,"Denver, Colorado"
PRU,Prudential Financial,reports,Financials,"Newark, New Jersey"
PEG,Public Serv. Enterprise Inc.,reports,Utilities,"Newark, New Jersey"
PSA,Public Storage,reports,Financials,"Glendale, California"
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,"Bloomfield Hills, Michigan"
QEP,QEP Resources,reports,Utilities,"Denver, Colorado[6]"
PWR,Quanta Services Inc.,reports,Industrials,"Houston, Texas"
QCOM,QUALCOMM Inc.,reports,Information Technology,"San Diego, California"
DGX,Quest Diagnostics,reports,Health Care,"Madison, New Jersey"
RRC,Range Resources Corp.,reports,Energy,"Fort Worth, Texas"
RTN,Raytheon Co.,reports,Industrials,"Waltham, Massachusetts"
